avg_salary,age,python_yn,R_yn,spark,aws,excel,job_simp,seniority,num_comp
72.0,47,1,0,0,0,1,1,middle,0
87.5,36,1,0,0,0,0,1,middle,0
76.5,55,1,0,0,0,0,1,middle,3
114.5,22,1,0,0,0,1,1,middle,3
95.0,20,1,0,0,1,1,1,middle,3
85.0,52,0,0,0,0,0,1,middle,0
139.0,58,0,0,0,0,0,1,middle,3
146.0,25,0,0,0,0,1,1,middle,0
112.5,25,1,0,0,1,1,1,middle,0
99.5,68,1,0,1,1,1,1,middle,0
76.5,55,1,0,0,0,0,1,middle,3
96.0,23,1,0,0,0,0,1,middle,0
114.5,24,1,0,0,0,0,1,middle,0
121.0,24,1,0,1,0,1,1,middle,0
112.5,46,1,0,0,0,1,1,middle,3
107.0,51,1,0,1,1,0,1,middle,1
106.0,35,1,0,0,0,1,1,middle,0
130.0,27,1,0,1,0,1,1,senior,3
184.5,62,1,0,0,0,1,1,senior,3
29.5,34,0,0,0,0,1,0,middle,0
86.5,21,0,0,0,0,0,0,middle,3
91.0,36,1,0,0,0,1,1,middle,0
68.0,18,1,0,0,0,1,0,middle,0
95.0,20,1,0,0,1,1,1,middle,3
67.0,55,0,0,0,0,0,1,middle,3
85.0,72,1,0,0,0,0,1,middle,3
56.5,21,1,0,0,0,0,1,middle,4
76.0,42,0,0,0,0,1,0,middle,0
87.5,20,0,0,0,1,0,0,middle,0
113.5,25,1,0,0,0,1,1,middle,3
56.5,23,0,0,0,0,1,0,jr,0
130.0,78,1,0,0,0,1,1,middle,3
87.0,18,1,0,0,1,1,1,middle,0
53.5,72,0,0,0,0,1,0,middle,0
139.0,58,0,0,0,0,0,1,middle,3
48.0,24,0,0,0,0,1,0,middle,0
48.0,21,0,0,0,0,1,0,middle,0
174.0,30,0,0,0,0,1,0,senior,3
85.0,52,1,0,1,0,0,1,middle,0
72.5,32,0,0,0,0,1,0,middle,0
85.5,24,0,0,0,0,0,0,middle,3
97.5,62,1,0,0,0,1,1,middle,3
56.5,19,0,0,0,0,1,0,middle,3
85.5,28,1,0,0,0,0,1,middle,3
95.5,23,1,0,1,0,0,1,middle,3
104.5,26,1,0,1,1,1,1,senior,0
61.5,43,0,0,0,0,1,0,middle,3
108.0,38,1,0,1,0,0,1,middle,0
107.5,20,1,0,0,0,0,1,middle,0
95.0,24,0,0,1,1,0,1,middle,2
119.5,23,1,0,1,0,0,1,middle,3
134.0,20,0,0,1,1,0,1,senior,3
100.5,21,1,0,0,0,1,1,middle,0
92.5,27,1,0,1,0,1,1,middle,3
62.0,34,0,0,0,0,1,0,middle,0
39.5,20,0,0,0,0,0,0,middle,0
107.5,54,0,0,0,0,1,1,middle,0
89.5,62,1,0,1,0,0,1,senior,3
85.0,62,1,0,0,0,1,1,middle,3
81.5,49,0,0,0,0,1,0,middle,2
168.0,23,0,0,0,0,1,0,middle,3
97.0,77,1,0,1,0,1,1,middle,3
85.0,52,0,0,0,0,0,1,middle,0
124.0,36,1,0,0,0,1,0,senior,0
67.0,55,1,0,0,0,0,1,middle,3
87.0,20,0,0,0,0,0,1,middle,3
100.0,33,1,0,0,0,1,1,senior,3
106.5,75,0,0,0,0,1,1,middle,0
98.5,55,0,0,0,0,0,1,senior,3
169.0,44,1,0,1,0,1,1,senior,0
142.0,24,1,0,1,1,1,1,senior,0
107.0,39,1,0,0,0,1,1,middle,0
171.5,50,1,0,0,1,0,1,middle,2
61.5,27,1,0,0,0,1,0,senior,3
120.0,69,1,0,0,0,0,1,middle,0
150.5,38,1,0,1,0,0,1,senior,0
87.5,53,0,0,0,0,1,0,middle,0
98.5,38,0,0,0,0,1,1,senior,2
147.0,72,1,0,1,1,0,1,senior,0
61.0,59,0,0,0,0,1,0,middle,0
120.0,36,1,0,0,0,0,0,middle,0
59.0,24,1,0,0,0,1,0,middle,2
93.5,18,0,0,0,0,1,0,middle,0
48.5,34,0,0,0,0,1,0,middle,0
21.5,43,0,0,0,1,0,0,middle,0
124.0,36,0,0,0,0,0,0,senior,0
64.0,24,0,0,0,0,0,0,middle,0
98.0,62,1,0,0,0,0,1,senior,3
54.0,56,0,0,0,0,0,0,middle,0
81.0,59,0,0,0,0,1,0,middle,0
112.5,25,1,0,0,1,1,1,middle,0
89.0,25,1,0,1,0,1,1,middle,3
65.0,18,0,0,0,0,1,0,middle,3
72.5,21,1,0,1,1,1,1,middle,0
87.5,28,0,0,0,0,0,1,middle,0
92.5,23,1,1,0,0,1,0,middle,3
81.5,62,1,0,1,0,0,1,middle,3
79.0,39,0,0,0,0,0,0,middle,2
169.0,44,1,0,1,0,1,1,senior,0
142.0,24,1,0,1,1,1,1,senior,0
49.0,36,1,1,0,0,1,0,middle,0
171.5,50,1,0,0,1,0,1,middle,2
107.0,39,1,0,0,0,1,1,middle,0
59.0,24,0,0,0,0,1,0,middle,0
114.5,28,1,0,0,0,1,0,middle,0
100.0,19,1,0,1,1,0,1,middle,3
61.5,27,1,0,0,0,1,0,senior,3
96.5,21,1,0,1,0,0,1,middle,3
76.0,28,1,0,0,0,1,0,middle,3
15.5,54,0,0,0,0,1,1,middle,0
120.0,69,1,0,0,0,0,1,middle,0
163.0,44,0,0,0,0,1,1,middle,0
150.5,38,1,0,1,0,0,1,senior,0
87.5,53,0,0,0,0,1,0,middle,0
108.0,20,1,0,1,0,0,1,middle,0
98.5,38,0,0,0,0,1,1,senior,2
77.5,72,0,0,0,0,1,1,middle,3
147.0,72,1,0,1,1,0,1,senior,0
90.0,23,1,0,0,0,1,1,middle,3
61.0,59,0,0,0,0,1,0,middle,0
120.0,36,1,0,0,0,0,0,middle,0
99.5,68,1,0,1,1,1,1,middle,0
96.0,23,1,0,0,0,0,1,middle,0
59.0,24,1,0,0,0,1,0,middle,2
52.5,33,1,0,0,0,0,0,middle,0
75.5,38,0,0,1,0,0,1,middle,0
125.0,44,0,0,0,0,1,0,middle,0
77.0,24,0,0,0,0,1,0,middle,3
92.0,52,0,0,0,0,0,1,middle,0
121.0,24,0,0,0,0,0,1,senior,0
162.5,38,1,0,1,0,1,1,senior,0
60.0,73,0,0,0,0,0,0,middle,3
114.5,24,1,0,0,0,0,1,middle,0
121.0,24,1,0,1,0,1,1,middle,0
110.0,27,0,0,0,0,0,1,senior,3
70.5,52,0,0,0,0,0,0,middle,0
76.5,55,1,0,0,0,0,1,middle,3
82.0,51,1,0,0,0,0,0,middle,1
44.0,29,0,0,0,0,0,0,middle,0
93.5,18,0,0,0,0,1,0,middle,0
114.0,22,1,0,1,0,0,1,middle,3
71.0,31,0,0,0,0,1,0,middle,3
107.0,51,1,0,1,1,0,1,middle,1
112.5,46,1,0,0,0,1,1,middle,3
62.5,39,0,0,0,0,1,0,middle,3
48.5,34,0,0,0,0,1,0,middle,0
21.5,43,0,0,0,1,0,0,middle,0
87.0,47,1,0,0,0,1,0,middle,0
124.0,36,0,0,0,0,0,0,senior,0
31.5,54,0,0,0,0,0,0,middle,0
64.0,24,0,0,0,0,0,0,middle,0
98.0,62,1,0,0,0,0,1,senior,3
54.0,56,0,0,0,0,0,0,middle,0
139.5,36,1,0,0,0,0,1,senior,0
109.0,21,0,0,0,1,0,1,middle,0
81.0,59,0,0,0,0,1,0,middle,0
45.5,31,0,0,0,0,0,0,middle,0
122.5,24,1,0,1,1,0,1,senior,0
140.0,52,1,0,0,0,1,1,senior,0
77.5,62,0,0,0,0,0,0,senior,3
26.5,44,0,0,0,0,1,0,middle,0
90.0,32,0,0,1,0,1,1,middle,0
73.5,36,0,0,0,0,1,0,middle,0
91.0,36,1,0,0,0,1,1,middle,0
65.0,18,0,0,0,0,1,0,middle,3
112.5,30,1,0,1,1,0,1,senior,3
51.0,48,0,0,0,0,1,0,middle,0
100.0,39,0,0,0,0,0,1,senior,0
66.5,25,1,0,0,0,0,0,middle,0
70.5,18,0,0,1,0,1,0,middle,0
107.5,77,0,0,1,0,1,1,middle,3
81.0,59,0,0,0,0,0,0,middle,0
68.5,51,1,0,1,0,1,0,middle,1
110.5,42,0,0,0,0,1,1,senior,3
130.0,27,1,0,1,0,1,1,senior,3
80.5,55,0,0,0,0,0,1,senior,3
43.0,28,0,0,0,0,1,0,middle,0
66.5,37,0,0,0,0,1,0,senior,3
119.0,55,0,0,0,0,0,1,senior,3
25.0,24,0,0,0,0,0,0,middle,2
13.5,20,0,0,0,0,1,0,senior,0
71.5,73,1,0,0,1,1,0,senior,3
65.5,62,0,0,0,0,0,0,senior,3
161.5,31,1,0,0,1,1,0,middle,0
74.5,18,1,0,1,0,0,1,middle,3
76.5,55,1,0,0,0,0,1,middle,3
232.5,21,1,0,0,0,0,0,senior,0
82.0,51,1,0,0,0,0,0,middle,1
76.5,44,1,0,0,0,1,1,middle,0
128.0,28,1,0,1,0,0,1,middle,3
93.5,18,0,0,0,0,1,0,middle,0
44.0,29,0,0,0,0,0,0,middle,0
177.0,32,1,0,1,1,0,1,middle,3
101.5,51,1,0,0,1,0,1,middle,0
114.0,22,1,0,1,0,0,1,middle,3
147.0,53,1,0,1,0,1,1,middle,3
123.5,21,1,0,0,1,0,1,senior,1
71.0,31,0,0,0,0,1,0,middle,3
184.5,62,1,0,0,0,1,1,senior,3
62.5,39,0,0,0,0,1,0,middle,3
66.0,40,0,0,0,0,1,0,middle,2
87.0,66,1,0,0,0,0,0,middle,2
87.0,47,1,0,0,0,1,0,middle,0
48.5,34,0,0,0,0,1,0,middle,0
80.0,18,1,0,1,0,1,1,middle,3
21.5,43,0,0,0,1,0,0,middle,0
68.5,23,1,0,1,0,0,1,middle,3
172.0,19,0,0,0,0,0,1,middle,0
69.5,62,1,0,0,0,1,1,middle,3
124.0,36,0,0,0,0,0,0,senior,0
31.5,54,0,0,0,0,0,0,middle,0
113.0,23,1,0,1,1,1,1,middle,3
123.5,32,0,0,0,0,1,0,middle,3
64.0,24,0,0,0,0,0,0,middle,0
162.0,38,1,0,0,0,1,0,middle,2
98.0,62,1,0,0,0,0,1,senior,3
54.0,56,0,0,0,0,0,0,middle,0
109.0,21,0,0,0,1,0,1,middle,0
139.5,36,1,0,0,0,0,1,senior,0
125.0,45,1,0,0,1,1,0,middle,3
106.5,24,1,0,0,0,0,0,senior,0
81.0,59,0,0,0,0,1,0,middle,0
45.5,31,0,0,0,0,0,0,middle,0
122.5,24,1,0,1,1,0,1,senior,0
37.5,43,0,0,0,0,1,0,middle,3
53.5,18,1,0,0,0,1,0,middle,3
140.0,52,1,0,0,0,1,1,senior,0
77.5,62,0,0,0,0,0,0,senior,3
26.5,44,0,0,0,0,1,0,middle,0
90.0,32,0,0,1,0,1,1,middle,0
73.5,36,0,0,0,0,1,0,middle,0
93.5,53,1,0,0,0,0,0,middle,0
47.0,43,1,0,0,0,1,0,middle,3
65.0,18,0,0,0,0,1,0,middle,3
112.5,30,1,0,1,1,0,1,senior,3
114.5,24,0,0,0,0,0,1,middle,0
51.0,48,0,0,0,0,1,0,middle,0
100.0,39,0,0,0,0,0,1,senior,0
121.0,24,0,0,0,0,0,1,senior,0
60.5,18,1,0,1,1,0,1,middle,0
70.5,18,0,0,1,0,1,0,middle,0
66.5,25,1,0,0,0,0,0,middle,0
107.5,77,0,0,1,0,1,1,middle,3
81.0,59,0,0,0,0,0,0,middle,0
107.0,39,1,0,0,0,1,1,middle,3
83.0,48,0,0,0,0,0,1,middle,3
68.5,51,1,0,1,0,1,0,middle,1
110.5,42,0,0,0,0,1,1,senior,3
87.5,26,0,0,0,0,1,0,middle,3
80.5,55,0,0,0,0,0,1,senior,3
43.0,28,0,0,0,0,1,0,middle,0
66.5,37,0,0,0,0,1,0,senior,3
100.0,26,0,0,0,0,1,0,senior,3
119.0,55,0,0,0,0,0,1,senior,3
95.5,25,1,0,0,0,0,1,middle,0
25.0,24,0,0,0,0,0,0,middle,2
13.5,20,0,0,0,0,1,0,senior,0
173.0,47,1,0,0,0,1,0,senior,0
71.5,73,1,0,0,1,1,0,senior,3
65.5,62,0,0,0,0,0,0,senior,3
85.0,72,1,0,0,0,0,1,middle,3
161.5,31,1,0,0,1,1,0,middle,0
121.0,29,0,0,0,1,1,0,senior,3
74.5,18,1,0,1,0,0,1,middle,3
85.5,18,0,0,0,0,1,0,middle,0
167.5,29,0,0,0,0,0,0,senior,3
107.5,36,1,0,0,0,0,0,middle,0
44.5,41,0,0,0,1,1,0,middle,0
69.5,26,0,0,0,0,1,0,senior,0
98.5,50,1,0,1,1,0,0,senior,2
80.5,59,0,0,0,0,1,0,middle,0
67.0,55,0,0,0,0,0,1,middle,3
62.5,39,0,0,0,0,1,0,middle,3
66.0,40,0,0,0,0,1,0,middle,2
114.0,31,1,0,0,1,1,1,middle,0
87.0,66,1,0,0,0,0,0,middle,2
48.5,34,0,0,0,0,1,0,middle,0
87.0,47,1,0,0,0,1,0,middle,0
80.0,18,1,0,1,0,1,1,middle,3
21.5,43,0,0,0,1,0,0,middle,0
68.5,23,1,0,1,0,0,1,middle,3
69.5,62,1,0,0,0,1,1,middle,3
96.5,23,1,0,0,0,0,1,middle,0
124.0,36,0,0,0,0,0,0,senior,0
31.5,54,0,0,0,0,0,0,middle,0
69.5,51,1,0,0,0,1,1,middle,0
121.0,23,1,0,0,0,0,1,middle,0
113.0,23,1,0,1,1,1,1,middle,3
106.5,62,1,0,1,0,1,1,jr,3
123.5,32,0,0,0,0,1,0,middle,3
86.5,21,0,0,0,1,1,0,middle,1
64.0,24,0,0,0,0,0,0,middle,0
162.0,38,1,0,0,0,1,0,middle,2
98.0,62,1,0,0,0,0,1,senior,3
54.0,56,0,0,0,0,0,0,middle,0
109.0,21,0,0,0,1,0,1,middle,0
139.5,36,1,0,0,0,0,1,senior,0
125.0,45,1,0,0,1,1,0,middle,3
106.5,24,1,0,0,0,0,0,senior,0
81.0,59,0,0,0,0,1,0,middle,0
45.5,31,0,0,0,0,0,0,middle,0
122.5,24,1,0,1,1,0,1,senior,0
37.5,43,0,0,0,0,1,0,middle,3
53.5,18,1,0,0,0,1,0,middle,3
140.0,52,1,0,0,0,1,1,senior,0
77.5,62,0,0,0,0,0,0,senior,3
26.5,44,0,0,0,0,1,0,middle,0
90.0,32,0,0,1,0,1,1,middle,0
73.5,36,0,0,0,0,1,0,middle,0
93.5,53,1,0,0,0,0,0,middle,0
